;;;;;;;;;;;;;;;;;;;;;;;Chambre 3;;Chambre 2;;Chambre 1;
START DATE;2023-10-25 12:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
END DATE;2023-10-25 14:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERVAL;10s;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;DATE;BU12;Text;T1;T2;L3;T3;T4;T5;L2;T6;T7;T8;L1;T9;T10;T11;BU11;T12;T13;V3 (in 3);V6 (out 3);V2 (in 2);V5 (out 2);V1 (in L1);V4 (out 1)
;;;;m3/h;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;m3/h;C;C;1/0;1/0;1/0;1/0;1/0;1/0
;;;25-oct-23 12:00:00; 20,70  ; 9,77  ; 417,79  ; 154,73  ; 190,00  ; 540,99  ; 651,00  ; 754,22  ; 175,00  ; 441,56  ; 497,43  ; 596,13  ; 165,00  ; 379,57  ; 521,00  ; 618,00  ; 22,43  ; 820,72  ; 218,39  ;1;0;0;0;0;1
;;;25-oct-23 12:00:10; 20,70  ; 9,77  ; 417,33  ; 154,61  ; 190,00  ; 540,84  ; 651,00  ; 754,01  ; 175,00  ; 440,73  ; 496,86  ; 595,83  ; 165,00  ; 380,14  ; 522,00  ; 618,00  ; 22,20  ; 820,82  ; 218,53  ;1;0;0;0;0;1
;;;25-oct-23 12:00:20; 20,70  ; 9,77  ; 417,04  ; 154,62  ; 191,00  ; 540,39  ; 650,00  ; 753,47  ; 175,00  ; 439,77  ; 496,24  ; 595,27  ; 165,00  ; 380,73  ; 523,00  ; 618,00  ; 18,60  ; 820,93  ; 218,48  ;1;0;0;0;0;1
;;;25-oct-23 12:00:30; 20,70  ; 9,77  ; 416,83  ; 154,70  ; 191,00  ; 539,90  ; 649,00  ; 752,90  ; 174,00  ; 439,20  ; 495,75  ; 594,70  ; 165,00  ; 381,30  ; 524,00  ; 619,00  ; 14,70  ; 821,00  ; 218,41  ;1;0;0;0;0;1
;;;25-oct-23 12:00:40; 20,70  ; 9,77  ; 416,71  ; 154,77  ; 191,00  ; 539,03  ; 647,00  ; 752,20  ; 174,00  ; 438,55  ; 495,14  ; 594,17  ; 165,00  ; 382,33  ; 526,00  ; 620,00  ; 13,70  ; 821,22  ; 218,17  ;1;0;0;0;0;1
;;;25-oct-23 12:00:50; 20,70  ; 9,77  ; 416,57  ; 154,68  ; 191,00  ; 538,20  ; 646,00  ; 751,43  ; 174,00  ; 437,86  ; 494,73  ; 593,67  ; 165,00  ; 383,37  ; 527,00  ; 621,00  ; 13,25  ; 821,13  ; 217,88  ;1;0;0;0;0;1
;;;25-oct-23 12:01:00; 20,70  ; 9,77  ; 416,21  ; 154,80  ; 190,00  ; 537,12  ; 646,00  ; 750,51  ; 174,00  ; 437,40  ; 494,31  ; 593,20  ; 165,00  ; 384,38  ; 528,00  ; 622,00  ; 12,70  ; 821,04  ; 217,47  ;1;0;0;0;0;1
;;;25-oct-23 12:01:10; 20,70  ; 9,77  ; 415,87  ; 154,71  ; 190,00  ; 535,30  ; 644,00  ; 749,48  ; 173,00  ; 436,64  ; 493,77  ; 592,84  ; 166,00  ; 385,48  ; 530,00  ; 623,00  ; 11,80  ; 820,84  ; 217,14  ;1;0;0;0;0;1
